start_point,initial_objective,final_objective,improvement,success,iterations,final_parameters,aₕ,bₕ,c₀,μ,χ,ν,ψ₀,ϕ,κ₀
1,942.5773984572735,477.08910428065843,465.48829417661506,false,779,"[2.0666817945740066, 1.0111503321558504, 0.013398649702440238, 0.0017350784290709705, 12.50621840449611, 0.971936300404631, 0.2395132876498067, 1.0158199796865761, 106.50375080777297]",2.0666817945740066,1.0111503321558504,0.013398649702440238,0.0017350784290709705,12.50621840449611,0.971936300404631,0.2395132876498067,1.0158199796865761,106.50375080777297
2,990.3326265438444,477.74714712569465,512.5854794181498,false,1944,"[2.1403148366490297, 1.000136735364639, 0.04089592239257831, 0.002770621401852436, 6.481735307638214, 0.8933303739225086, 0.1917389763682917, 1.261328922019478, 52.69447990731921]",2.1403148366490297,1.000136735364639,0.04089592239257831,0.002770621401852436,6.481735307638214,0.8933303739225086,0.1917389763682917,1.261328922019478,52.69447990731921
3,824.2989429756832,470.9662819150528,353.3326610606304,false,1055,"[2.143708048169961, 1.0003475279620797, 0.02524091716632718, 0.0008745890516569475, 1.572338294584992, 0.9502787109166565, 0.2627401710559537, 0.9355885249798458, 170.73220906373416]",2.143708048169961,1.0003475279620797,0.02524091716632718,0.0008745890516569475,1.572338294584992,0.9502787109166565,0.2627401710559537,0.9355885249798458,170.73220906373416
4,1011.7645564873476,453.364280174988,558.4002763123597,false,2000,"[2.43946888279406, 1.0050985329894042, 0.03713481576230348, 0.001894080349609943, 6.1216581398518475, 0.8269142082717865, 0.26686679075027586, 0.9441434502380525, 70.87292650224371]",2.43946888279406,1.0050985329894042,0.03713481576230348,0.001894080349609943,6.1216581398518475,0.8269142082717865,0.26686679075027586,0.9441434502380525,70.87292650224371
5,782.095669879402,533.5036114813917,248.5920583980103,false,1103,"[1.6792463378089482, 1.000150967303416, 0.056642440748306794, 0.0021911106858241644, 8.83142775000599, 0.5612366188210268, 0.2881835771475165, 1.0585016027504617, 122.09928082936133]",1.6792463378089482,1.000150967303416,0.056642440748306794,0.0021911106858241644,8.83142775000599,0.5612366188210268,0.2881835771475165,1.0585016027504617,122.09928082936133
6,1030.881681802229,478.4663139763376,552.4153678258914,false,902,"[2.156741554089998, 1.0948152876034973, 0.04889589087119681, 0.0005283524827046474, 8.420028674026014, 0.7428502245046358, 0.36384373813915694, 0.7023710297608778, 180.73833038750968]",2.156741554089998,1.0948152876034973,0.04889589087119681,0.0005283524827046474,8.420028674026014,0.7428502245046358,0.36384373813915694,0.7023710297608778,180.73833038750968
7,893.5215961655074,510.78651552837033,382.73508063713706,false,2000,"[1.8313887473772368, 1.0410180284983932, 0.06746111766201547, 0.000716645426568191, 8.257601157705274, 0.9964513950356169, 0.24312742820555197, 1.099376646492192, 66.90815942309963]",1.8313887473772368,1.0410180284983932,0.06746111766201547,0.000716645426568191,8.257601157705274,0.9964513950356169,0.24312742820555197,1.099376646492192,66.90815942309963
8,864.8038482832483,541.9220810652826,322.8817672179657,false,2000,"[1.5619253043435561, 1.0380014376988167, 0.02363351814411434, 0.0010672324480026107, 22.374750987937844, 0.7684289282241863, 0.3437767976441851, 0.8190075798612337, 144.2756978565249]",1.5619253043435561,1.0380014376988167,0.02363351814411434,0.0010672324480026107,22.374750987937844,0.7684289282241863,0.3437767976441851,0.8190075798612337,144.2756978565249
9,846.7274852011179,469.5209537590512,377.2065314420667,false,1152,"[2.220149181098848, 1.0075043714507974, 0.04443242340995987, 0.0015878573716779385, 12.299386449814302, 0.764104448726644, 0.30669970345857667, 0.8618876430196879, 60.49526822341017]",2.220149181098848,1.0075043714507974,0.04443242340995987,0.0015878573716779385,12.299386449814302,0.764104448726644,0.30669970345857667,0.8618876430196879,60.49526822341017
10,1060.0573040397942,507.0224198639336,553.0348841758606,false,1013,"[1.9237741897442686, 1.0287028161973806, 0.01226074738004265, 0.0005924358099624144, 3.8664808020533994, 1.187536135324906, 0.23817638953049725, 1.107307507096656, 89.80516500050649]",1.9237741897442686,1.0287028161973806,0.01226074738004265,0.0005924358099624144,3.8664808020533994,1.187536135324906,0.23817638953049725,1.107307507096656,89.80516500050649
