parameter,estimate
aₕ,1.5651664951851572
bₕ,1.0784141775119844
c₀,0.0004731420450218072
μ,0.0051243626356331845
χ,8.414551252305543
ν,0.6496215653950335
ψ₀,0.2920303711204508
ϕ,1.1823194725992936
κ₀,117.93484807873224
