parameter,estimate
aₕ,1.5582295442586356
bₕ,1.0770525709037722
c₀,0.00023813701596822257
μ,0.005108187647338447
χ,7.856657866046169
ν,0.7386136697133117
ψ₀,0.2911852611332686
ϕ,1.1733810430812355
κ₀,123.18130409667324
