start_point,initial_objective,final_objective,improvement,success,iterations,final_parameters,aₕ,bₕ,c₀,μ,χ,ν,ψ₀,ϕ,κ₀
1,0.16250874335155027,942.5773984574444,-942.4148897140929,false,0,"[1.5714087805606658, 1.0930078058826707, 0.0007461093478651184, 0.003998902359038344, 11.010057139464875, 0.6531392801074976, 0.27293579622529596, 1.2051155260904085, 128.01155826407006]",1.5714087805606658,1.0930078058826707,0.0007461093478651184,0.003998902359038344,11.010057139464875,0.6531392801074976,0.27293579622529596,1.2051155260904085,128.01155826407006
2,0.1956436258557956,990.332626543726,-990.1369829178701,false,0,"[1.4297974142337708, 1.0316869126040495, 0.0005930813986062047, 0.00569838836114267, 6.392463826150188, 0.4563498573933598, 0.29648737909899225, 1.1989987669405784, 120.28048338531592]",1.4297974142337708,1.0316869126040495,0.0005930813986062047,0.00569838836114267,6.392463826150188,0.4563498573933598,0.29648737909899225,1.1989987669405784,120.28048338531592
3,0.18878303430511106,824.2989429759662,-824.1101599416611,false,0,"[1.5651664951851572, 1.0784141775119844, 0.0004731420450218072, 0.0051243626356331845, 8.414551252305543, 0.6496215653950335, 0.2920303711204508, 1.1823194725992936, 117.93484807873224]",1.5651664951851572,1.0784141775119844,0.0004731420450218072,0.0051243626356331845,8.414551252305543,0.6496215653950335,0.2920303711204508,1.1823194725992936,117.93484807873224
4,0.1967726801389449,1011.7645564891444,-1011.5677838090055,false,0,"[1.513847905450917, 1.106269749727959, 5.0e-5, 0.005431508469694381, 9.786031394457954, 0.47430293695770853, 0.29240475216326545, 1.1992964286514227, 118.64588369254568]",1.513847905450917,1.106269749727959,5.0e-5,0.005431508469694381,9.786031394457954,0.47430293695770853,0.29240475216326545,1.1992964286514227,118.64588369254568
5,0.19365597269511686,782.0956698791973,-781.9020139065022,false,0,"[1.6130337449599055, 1.0816714227407203, 0.02670398660153918, 0.005056370268770801, 7.025643444410607, 0.5927126293849522, 0.3043339911664085, 1.1444337054965792, 132.7292132343396]",1.6130337449599055,1.0816714227407203,0.02670398660153918,0.005056370268770801,7.025643444410607,0.5927126293849522,0.3043339911664085,1.1444337054965792,132.7292132343396
