parameter,estimate
aₕ,1.5581990352491177
bₕ,1.0781112927520862
c₀,0.025075
μ,0.0033593923263782544
χ,7.830328281862336
ν,0.5836655781739374
ψ₀,0.291107948339503
ϕ,1.1155405558117024
κ₀,158.86283207073637
