parameter,estimate
aₕ,2.43946888279406
bₕ,1.0050985329894042
c₀,0.03713481576230348
μ,0.001894080349609943
χ,6.1216581398518475
ν,0.8269142082717865
ψ₀,0.26686679075027586
ϕ,0.9441434502380525
κ₀,70.87292650224371
