parameter,estimate
aₕ,1.6130337449599055
bₕ,1.0816714227407203
c₀,0.02670398660153918
μ,0.005056370268770801
χ,7.025643444410607
ν,0.5927126293849522
ψ₀,0.3043339911664085
ϕ,1.1444337054965792
κ₀,132.7292132343396
